"fecha","TOTAL NACIONAL-Producción de Petróleo Crudo","TOTAL NACIONAL-PRODUCCIÓN DE PETRÓLEO CRUDO FISCALIZADA (Miles de barriles)","TOTAL NACIONAL-EXPORTACIONES DE PETRÓLEO CRUDO (Miles de barriles)","TOTAL NACIONAL-CRUDO RECIBIDO EN REFINERÍAS Y CONSUMO EN OLEODUCTO (Miles de barriles)","TOTAL NACIONAL-MATERIA PRIMA PROCESADA EN REFINERÍAS (Miles de barriles)","TOTAL NACIONAL-TRANSPORTE POR OLEODUCTOS (Miles de barriles)","TOTAL NACIONAL-PRODUCCIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-IMPORTACIÓN DE DERIVADOS (Miles de barriles)","TOTAL NACIONAL-CONSUMO INTERNO DE DERIVADOS (Miles de barriles)","TOTAL EXPORTACIONES DE PETRÓLEO (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE EMPRESAS PÚBLICAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE COMPAÑÍAS PRIVADAS (miles de barriles)","EXPORTACIONES DE PETRÓLEO DE MEM (miles de barriles)","TOTAL EXPORTACIONES DE DERIVADOS (miles de barriles)","Exportaciones de Derivados (miles de barriles)","Ingresos de EP PETROECUADOR por Exportaciones (miles de USD)","DIFERENCIA INGRESOS Y EGRESOS (miles de USD)","Precio Promedio Mensual WTI","Precio Promedio Mensual Brent","smoothed"
2008-12-01,15736.906253,15514.140932,11865.97232,5220.7868,4719.915,14947.36008,5823.97621221987,2644.6068,6137.029,11865.97232,6225.13998,5640.83234,0,1343.286,2.4246917170301,201089.36496,-60118.5674682797,42.13,39.95,9.62635149926424
2009-01-01,15608.86675,15407.96297,10779.9792,5376.6471,4899.421,14796.38279,5866.42891842014,2682.5434758,6058.4555559381,10779.9792,7449.91508,3330.06412,0,1306.419,1.43012866225013,256558.5732,-45995.9041511146,41.54,43.44,9.62378020596617
2009-02-01,13948.90392,13804.70576,9461.23965,4540.39158387097,4110.12,12924.03724,5401.21661134192,2004.5787837,5385.76555147124,9461.23965,5956.96673,3504.27292,0,1029.903,1.86368068439992,199289.44057,-42495.6971731483,39.1,43.32,9.61926075652201
2009-03-01,15414.13534,15265.38545,9584.77577,5268.60432,4788.326,15227.28004,5642.61826744,3030.862,6115.328808147,9584.77577,6785.27429,2799.50148,0,871.972,1.91442500579205,281139.12463,-52258.754202883,48.09,46.54,9.615274635507
2009-04-01,14855.338128,14662.74494,10647.92073,5320.42289,4858.052,13725.70878,5566.6259259619,2748.877,6132.75038399762,10647.92073,6922.66695,3725.25378,0,1386.535,1.72076999897013,342212.69014,-59753.5076659767,49.88,50.18,9.61148530966582
2009-05-01,15236.87459,15040.93195,10174.37078,5197.553,4717.399,14621.96411,5821.16291692,2694.38018965,5981.33960630714,10174.37078,6900.96618,3273.4046,0,969.744,1.80972391844011,402580.89755,-70461.6578606486,59.53,57.3,9.60727472084626
2009-06-01,14744.53833,14523.42064,9077.99673,5193.51465,4727.606,14005.22556,5676.44671775048,2128.15091165,6278.731261148,9077.99673,6400.71395,2677.28278,0,1059.263,1.79621759112001,473911.15448,-59590.9623061072,69.69,68.61,9.60084505002884
2009-07-01,14978.65562,14703.0775124476,10113.5817,5301.921,4839.381,14646.50275,5597.22220383333,2476.1806121,6256.46405733367,10113.5817,7012.30707,3101.27463,0,1171.535,1.69441496319996,465344.90758,-86989.9186552626,64.33,64.44,9.59397289408996
2009-08-01,14775.87299,14525.11207,11354.74009,5421.83778,4943.669,14421.55732,6149.49536999429,3604.8743393,6214.40911767162,11354.74009,8091.53788,3263.20221,0,1144.888,1.39267204773023,602542.23151,-125673.940505,71.09,72.51,9.58913706189396
2009-09-01,14256.40171,14059.563,8891.95591,5182.98261516129,4727.772,12926.54061,5548.5455047381,2667.43579985,6452.06983617543,8891.95591,6959.25604,1932.69987,0,926.195,2.32141338194992,507710.21937,-100550.350640071,69.31,67.65,9.58590097191938
2009-10-01,14718.11695,14501.36483,9439.54694,5358.111,4902.157,14553.94613,5865.55045078095,3127.80436645,6775.45532344457,9439.54694,6313.75902,3125.78792,0,991.43,1.2710216474502,507884.67835,-132450.505139737,75.63,72.77,9.58326887066941
2009-11-01,14308.33221,14120.54377,8579.65654,5041.72102,4574.401,13715.51793,5774.18382876,3360.75037295,7026.252,8579.65654,5733.6812,2845.97534,0,741.493,3.85616136856606,462927.40797,-129302.867366586,78.04,76.66,9.58101730682341
2009-12-01,14568.3682583333,14366.610905,11451.90805,5155.41349,4671.172,13848.58508,5791.18351375905,3988.492,7141.19345016005,11451.90805,8943.06394,2508.84411,0,734.938,1.07272693538414,655083.4145,-179835.030236302,74.62,74.46,9.58087793720005
2010-01-01,14373.31357,14375.42114,9546.81523,5226.83096,4748.011,13743.63089,5628.00584551714,3324.685815,6903.6436,9546.81523,7238.79113,2308.0241,0,726.945,0.342632887428067,579582.6035,-147833.222884744,78.3,76.19,9.58234414122533
2010-02-01,13162.48775,12923.29865,8495.10382,4418.47892,3971.375,12541.87468,4883.66125040762,2836.3477096,6165.72441796324,8495.10382,6033.5613,2461.54252,0,752.48,1.7694259257479,476608.48527,-130066.557781221,76.34,73.64,9.58377958340446
2010-03-01,14827.03032,14602.63526,11296.78212,3350.14885,2865.412,13923.93653,4069.73857115238,3632.25360395,6902.8413505461,11296.78212,8123.69327,3173.08885,0,371.44,2.05807400328405,622937.15429,-151551.507552971,81.25,78.9,9.58632433268679
2010-04-01,14393.46171,14251.90887,11454.59886,3628.65854,3163.91,13631.34254,4054.09352952476,3571.01392415,6323.12319983333,11454.59886,9744.21009,1710.38877,0,778.352,2.27894263358007,791973.4646,-186181.583502759,84.44,84.79,9.59021641771741
2010-05-01,14830.70485,14566.3217,9450.47301,4739.029935,4275.291,14124.29918,4784.23271165333,4687.69083395,6579.21152387114,9450.47301,7816.5311,1633.94191,0,576.55,1.48080612139199,547666.82826,-227744.921298413,73.65,75.57,9.59546283593288
2010-06-01,14719.89965,14566.03083,11792.61988,4934.32064,4473.468,13629.62122,5505.50009316857,3510.24564855,6327.893,11792.61988,8269.65101,3522.96887,0,969.007,1.51166614453018,621262.2751,-149156.540842992,75.29,74.85,9.60051727838377
2010-07-01,15244.52889,14960.03223,9695.88866,5232.886933,4748.092,14694.05011,5854.19738216667,3796.84745245,6515.6976,9695.88866,6776.17547,2919.71319,0,1103.703,2.25519239823984,543658.43648,-153063.401913524,76.11,75.64,9.60694741912981
2010-08-01,15032.59665,14788.66085,9462.62815,4562.01545,4074.893,14267.85875,5176.93877105809,3225.04955415,6303.4773,9462.62815,6397.99069,3064.63746,0,929.616,2.08765416834012,508588.39152,-134885.813672804,76.62,77.07,9.61358320139153
2010-09-01,14698.46461,14686.06271,10965.91037,4633.7136,4177.055,14344.54677,5052.40581283524,4331.16910065,6944.9275,10965.91037,9172.01418,1793.89619,0,522.745,2.17521567190192,650827.31462,-171926.406417376,75.14,77.8,9.61755054213626
2010-10-01,15421.83251,15223.72115,11232.08048,4794.30929,4311.502,15343.69926,6036.77038177333,4004.1562554,7343.157,11232.08048,7630.70688,3601.3736,0,1092.912,3.17121737305979,651140.44162,-194585.871626957,81.89,82.75,9.62162172062519
2010-11-01,15238.102859,14758.79398,9823.40922,4978.14318,4496.792,14014.78054,5403.63203285714,3873.12096755,6737.3875,9823.40922,6930.51564,2892.89358,0,1268.7492,1.30009060284988,632968.91153,-190140.079383713,84.08,85.33,9.62488796770139
2010-12-01,15479.335333,15017.09647,11248.14148,5025.02212,4537.727,14923.96759,5437.11161083048,3435.68761,6886.458,11248.14148,9107.90745,2140.23403,0,1166.3265,2.80560679584005,832830.23274,-179946.57543636,89.15,91.53,9.62561258634608
